User,Prompt
"""A classic Big Mac with extra pickles and a large Coca-Cola.""","""Big Mac, 1, extra pickles; Large Coca-Cola, 1,;"""
"""Crispy Chicken Sandwich, no lettuce, and a medium Sprite.""","""Crispy Chicken Sandwich, 1, no lettuce; Medium Sprite, 1,;"""
"""Quarter Pounder with Cheese, add bacon, and a small Fanta.""","""Quarter Pounder with Cheese, 1, add bacon; Small Fanta, 1,;"""
"""A McFlurry with M&M's and a side salad.""","""McFlurry, 1, M&M's; Side Salad, 1,;"""
"""A classic McChicken and a small Vanilla Shake.""","""McChicken, 1,; Small Vanilla Shake, 1,;"""
"""Spicy McChicken, no mayo, and a small apple pie.""","""Spicy McChicken, 1, no mayo; Small Apple Pie, 1,;"""
"""Large French Fries and a Hot Apple Pie.""","""Large French Fries, 1,; Hot Apple Pie, 1,;"""
"""A Bacon Ranch Salad with extra cheese and a side of ranch dressing.""","""Bacon Ranch Salad, 1, extra cheese; Ranch Dressing, 1,;"""
"""A 6-piece Chicken McNuggets with sweet and sour sauce.""","""6-piece Chicken McNuggets, 1, sweet and sour sauce;"""
"""A classic Filet-O-Fish with tartar sauce and a medium Coke.""","""Filet-O-Fish, 1, tartar sauce; Medium Coke, 1,;"""
"""A McRib with extra onions and a small Sprite.""","""McRib, 1, extra onions; Small Sprite, 1,;"""
"""A Grilled Chicken Wrap, no tomatoes, and a small apple pie.""","""Grilled Chicken Wrap, 1, no tomatoes; Small Apple Pie, 1,;"""
"""A McFlurry with Oreo cookies and a small Fanta.""","""McFlurry, 1, Oreo cookies; Small Fanta, 1,;"""
"""A classic Big Tasty, no tomatoes, and a large Coke.""","""Big Tasty, 1, no tomatoes; Large Coke, 1,;"""
"""A Spicy McChicken, no mayo, and a small vanilla shake.""","""Spicy McChicken, 1, no mayo; Small Vanilla Shake, 1,;"""
"""Medium French Fries and a small apple pie.""","""Medium French Fries, 1,; Small Apple Pie, 1,;"""
"""A Bacon Ranch Salad with extra bacon and a side of ranch dressing.""","""Bacon Ranch Salad, 1, extra bacon; Ranch Dressing, 1,;"""
"""A 10-piece Chicken McNuggets with barbecue sauce.""","""10-piece Chicken McNuggets, 1, barbecue sauce;"""
"""A classic Filet-O-Fish with extra tartar sauce and a small Sprite.""","""Filet-O-Fish, 1, extra tartar sauce; Small Sprite, 1,;"""
"""A McRib with extra pickles and a small apple pie.""","""McRib, 1, extra pickles; Small Apple Pie, 1,;"""
"""A Grilled Chicken Wrap with extra lettuce and a small Coke.""","""Grilled Chicken Wrap, 1, extra lettuce; Small Coke, 1,;"""
"""A classic McChicken and a medium Fanta.""","""McChicken, 1,; Medium Fanta, 1,;"""
"""Crispy Chicken Sandwich, no lettuce, and a small vanilla shake.""","""Crispy Chicken Sandwich, 1, no lettuce; Small Vanilla Shake, 1,;"""
"""Large French Fries and a Hot Apple Pie.""","""Large French Fries, 1,; Hot Apple Pie, 1,;"""
"""A Bacon Ranch Salad with extra cheese and a side of ranch dressing.""","""Bacon Ranch Salad, 1, extra cheese; Ranch Dressing, 1,;"""
"""A 6-piece Chicken McNuggets with sweet and sour sauce.""","""6-piece Chicken McNuggets, 1, sweet and sour sauce;"""
"""A classic Filet-O-Fish with tartar sauce and a medium Coke.""","""Filet-O-Fish, 1, tartar sauce; Medium Coke, 1,;"""
"""A McRib with extra onions and a small Sprite.""","""McRib, 1, extra onions; Small Sprite, 1,;"""
"""A Grilled Chicken Wrap, no tomatoes, and a small apple pie.""","""Grilled Chicken Wrap, 1, no tomatoes; Small Apple Pie, 1,;"""
"""A McFlurry with Oreo cookies and a small Fanta.""","""McFlurry, 1, Oreo cookies; Small Fanta, 1,;"""
"""A classic Big Tasty, no tomatoes, and a large Coke.""","""Big Tasty, 1, no tomatoes; Large Coke, 1,;"""
"""A Spicy McChicken, no mayo, and a small vanilla shake.""","""Spicy McChicken, 1, no mayo; Small Vanilla Shake, 1,;"""
"""Medium French Fries and a small apple pie.""","""Medium French Fries, 1,; Small Apple Pie, 1,;"""
"""A Bacon Ranch Salad with extra bacon and a side of ranch dressing.""","""Bacon Ranch Salad, 1, extra bacon; Ranch Dressing, 1,;"""
"""A 10-piece Chicken McNuggets with barbecue sauce.""","""10-piece Chicken McNuggets, 1, barbecue sauce;"""
"""A classic Filet-O-Fish with extra tartar sauce and a small Sprite.""","""Filet-O-Fish, 1, extra tartar sauce; Small Sprite, 1,;"""
"""A McRib with extra pickles and a small apple pie.""","""McRib, 1, extra pickles; Small Apple Pie, 1,;"""
"""A Grilled Chicken Wrap with extra lettuce and a small Coke.""","""Grilled Chicken Wrap, 1, extra lettuce; Small Coke, 1,;"""
"""A classic McChicken and a medium Fanta.""","""McChicken, 1,; Medium Fanta, 1,;"""
"""Crispy Chicken Sandwich, no lettuce, and a small vanilla shake.""","""Crispy Chicken Sandwich, 1, no lettuce; Small Vanilla Shake, 1,;"""
"""Large French Fries and a Hot Apple Pie.""","""Large French Fries, 1,; Hot Apple Pie, 1,;"""
"""A Bacon Ranch Salad with extra cheese and a side of ranch dressing.""","""Bacon Ranch Salad, 1, extra cheese; Ranch Dressing, 1,;"""
"""A 6-piece Chicken McNuggets with sweet and sour sauce.""","""6-piece Chicken McNuggets, 1, sweet and sour sauce;"""
"""A classic Filet-O-Fish with tartar sauce and a medium Coke.""","""Filet-O-Fish, 1, tartar sauce; Medium Coke, 1,;"""
"""A McRib with extra onions and a small Sprite.""","""McRib, 1, extra onions; Small Sprite, 1,;"""
"""A Grilled Chicken Wrap, no tomatoes, and a small apple pie.""","""Grilled Chicken Wrap, 1, no tomatoes; Small Apple Pie, 1,;"""
"""A McFlurry with Oreo cookies and a small Fanta.""","""McFlurry, 1, Oreo cookies; Small Fanta, 1,;"""
"""A classic Big Tasty, no tomatoes, and a large Coke.""","""Big Tasty, 1, no tomatoes; Large Coke, 1,;"""
"""A Spicy McChicken, no mayo, and a small vanilla shake.""","""Spicy McChicken, 1, no mayo; Small Vanilla Shake, 1,;"""
"""Medium French Fries and a small apple pie.""","""Medium French Fries, 1,; Small Apple Pie, 1,;"""
"""A Bacon Ranch Salad with extra bacon and a side of ranch dressing.""","""Bacon Ranch Salad, 1, extra bacon; Ranch Dressing, 1,;"""
"""A 10-piece Chicken McNuggets with barbecue sauce.""","""10-piece Chicken McNuggets, 1, barbecue sauce;"""
"""A classic Filet-O-Fish with extra tartar sauce and a small Sprite.""","""Filet-O-Fish, 1, extra tartar sauce; Small Sprite, 1,;"""
"""A McRib with extra pickles and a small apple pie.""","""McRib, 1, extra pickles; Small Apple Pie, 1,;"""
"""A Grilled Chicken Wrap with extra lettuce and a small Coke.""","""Grilled Chicken Wrap, 1, extra lettuce; Small Coke, 1,;"""
"""A classic McChicken and a medium Fanta.""","""McChicken, 1,; Medium Fanta, 1,;"""
"""Crispy Chicken Sandwich, no lettuce, and a small vanilla shake.""","""Crispy Chicken Sandwich, 1, no lettuce; Small Vanilla Shake, 1,;"""
"""Large French Fries and a Hot Apple Pie.""","""Large French Fries, 1,; Hot Apple Pie, 1,;"""
"""Give me Mac Crispy Supreme with coke, 3 mac toasts make them spicy and 2 french fries""","""McCrispy Supreme, 1,; Cola,1,; McToast, 3, spicy; French Fries, 2,"""
"""Can I please have a Maestro Bacon and Cheddar but I want no onions in it. Also please add to it two fries with one barbecue sauce""","""Maestro Bacon and Cheddar, 1, no onions; Fries, 2,; Barbecue Sauce, 1,"""
"""Hey, I want one coke, please do add any ice, and I also want two cappuccinos for me and my wife, please make sure they are extra sweet""","""Coca-Cola, 1, no ice; Cappuccino, 2, extra sweet"""
"""I'd like a Big Mac, extra pickles, a large Sprite, and a side salad with Italian dressing""","""Big Mac, 1, extra pickles; Sprite, 1, large; Side Salad, 1, Italian dressing"""
"""Give me a Chicken McNuggets Happy Meal with a toy, and a chocolate milkshake, please""","""Chicken McNuggets Happy Meal, 1, with toy; Chocolate Milkshake, 1,"""
"""I'll have a Filet-O-Fish with extra tartar sauce, a small fries, and a small Coke""","""Filet-O-Fish, 1, extra tartar sauce; Fries, 1, small; Coke, 1, small"""
"""May I get a Double Cheeseburger with no onions and a medium vanilla shake?""","""Double Cheeseburger, 1, no onions; Vanilla Shake, 1, medium"""
"""I'd like a Quarter Pounder with Cheese, extra ketchup, and a small Sprite""","""Quarter Pounder with Cheese, 1, extra ketchup; Sprite, 1, small"""
"""Can I have a McChicken, no lettuce, and a medium iced coffee with cream and sugar?""","""McChicken, 1, no lettuce; Iced Coffee, 1, medium, cream and sugar"""
"""I'll take a Bacon, Egg & Cheese Biscuit and a hash brown, please""","""Bacon, Egg & Cheese Biscuit, 1,; Hash Brown, 1,"""
"""Give me a Sausage McMuffin with Egg, add extra cheese, and a large orange juice""","""Sausage McMuffin with Egg, 1, extra cheese; Orange Juice, 1, large"""
"""I want a Big Breakfast with hotcakes, extra butter, and syrup, and a small coffee with cream""","""Big Breakfast with Hotcakes, 1, extra butter and syrup; Coffee, 1, small, cream"""
"""May I have a Fruit 'N Yogurt Parfait and a small caramel frappe?""","""Fruit 'N Yogurt Parfait, 1,; Caramel Frappe, 1, small"""
"""I'd like a McFlurry with Oreo cookies and a side of apple slices""","""McFlurry with Oreo Cookies, 1,; Apple Slices, 1,"""
"""I'll have a Grilled Chicken Salad with Italian dressing and a bottle of water""","""Grilled Chicken Salad, 1, Italian dressing; Water, 1, bottle"""
"""Can I get a Hot Fudge Sundae and a small fries, please""","""Hot Fudge Sundae, 1,; Fries, 1, small"""
"""I want a Southwest Grilled Chicken Salad with no corn and a small Diet Coke""","""Southwest Grilled Chicken Salad, 1, no corn; Diet Coke, 1, small"""
"""Give me a Quarter Pounder with Cheese, extra mustard, and a medium iced tea""","""Quarter Pounder with Cheese, 1, extra mustard; Iced Tea, 1, medium"""
"""May I have a Chicken McNuggets Happy Meal with apples instead of fries and a small orange juice?""","""Chicken McNuggets Happy Meal, 1, apples; Orange Juice, 1, small"""
"""I'd like a McDouble with extra pickles, a small Sprite, and a side salad with ranch dressing""","""McDouble, 1, extra pickles; Sprite, 1, small; Side Salad, 1,"""
"""Give me a Filet-O-Fish with no tartar sauce, a medium fries, and a medium Coke""","""Filet-O-Fish, 1, no tartar sauce; Fries, 1, medium; Coke, 1, medium"""
"""Can I please have a Quarter Pounder with Cheese, extra onions, and a small vanilla shake?""","""Quarter Pounder with Cheese, 1, extra onions; Vanilla Shake, 1,"""
"""Hey, I want one apple pie, please make it extra crispy, and a small coffee with cream""","""Apple Pie, 1, extra crispy; Coffee, 1, small, cream"""
"""I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please""","""Bacon, Egg & Cheese McGriddles, 1,; Hash Brown, 1,"""
"""May I get a Spicy McChicken, add lettuce, and a medium orange juice?""","""Spicy McChicken, 1, add lettuce; Orange Juice, 1, medium"""
