User,Prompt
"Good morning! We'd like to place an order for two Mac Toasts, a Mac Double, three Double Cheeseburgers, a Mac Snack Wrap, Plov, cream cookie, three Paneer Masalas, a Filet-O-Fish, Chicken McNuggets, and one Premium Caesar Salad. Actually, make it two Premium Caesar Salads! We'd also like three Sausage McGriddles. For dessert, we'll have five Egg McMuffins, two Hot Caramel Sundaes, and a Soft Baked Oatmeal Raisin Cookie.","{'dish': 'Mac Toast', 'quantity': 2, 'comment': ' '},{'dish': 'Mac Double', 'quantity': 1, 'comment': ' '},{'dish': 'Double Cheeseburger', 'quantity': 3, 'comment': ' '},{'dish': 'Mac Snack Wrap', 'quantity': 1, 'comment': ' '},{'dish': 'Plov', 'quantity': 1, 'comment': ' '},{'dish': 'Cream Cookie', 'quantity': 1, 'comment': ' '},{'dish': 'Paneer Masala', 'quantity': 3, 'comment': ' '},{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': ' '},{'dish': 'Chicken McNuggets', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Caesar Salad', 'quantity': 2, 'comment': ' '},{'dish': 'Sausage McGriddles', 'quantity': 3, 'comment': ' '},{'dish': 'Egg McMuffin', 'quantity': 5, 'comment': ' '},{'dish': 'Hot Caramel Sundae', 'quantity': 2, 'comment': ' '},{'dish': 'Soft Baked Oatmeal Raisin Cookie', 'quantity': 1, 'comment': ' '}"
"Hello! I'd like to make a sizeable order. Let's go for three Deluxe Quarter Pounders, two Premium McWrap Sweet Chili Chickens, and a Double Quarter Pounder with Cheese. Add a Mac Snack Wrap and a Bacon Habanero Ranch Quarter Pounder to the mix. For drinks, we'll take a McCafé Strawberry Banana Smoothie and a McCafé Iced Mocha. As for sides, include some French Fries and Hash Browns. To top it off, we'll need a McFlurry with OREO® Cookies and a Baked Apple Pie for dessert.","{'dish': 'Deluxe Quarter Pounder', 'quantity': 3, 'comment': ' '},{'dish': 'Premium McWrap Sweet Chili Chicken', 'quantity': 2, 'comment': ' '},{'dish': 'Double Quarter Pounder with Cheese', 'quantity': 1, 'comment': ' '},{'dish': 'Mac Snack Wrap', 'quantity': 1, 'comment': ' '},{'dish': 'Bacon Habanero Ranch Quarter Pounder', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Strawberry Banana Smoothie', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Iced Mocha', 'quantity': 1, 'comment': ' '},{'dish': 'French Fries', 'quantity': 1, 'comment': ' '},{'dish': 'Hash Browns', 'quantity': 1, 'comment': ' '},{'dish': 'McFlurry with OREO® Cookies', 'quantity': 1, 'comment': ' '},{'dish': 'Baked Apple Pie', 'quantity': 1, 'comment': ' '}"
"Hey there! We're placing an order for a gathering. Could you do four Grilled Onion Cheddar Burgers, a Premium Crispy Chicken Ranch BLT Sandwich, and a Southern Style Crispy Chicken Sandwich? Actually no, please remove one Grilled Onion Cheddar Burgers. Add in a Premium Southwest Salad with Grilled Chicken and a Side Salad. For the little ones, we'll have a Kiddie Cone and a Vanilla Cone. Don't forget three orders of Chicken McNuggets! To wash it down, two McCafé Blueberry Pomegranate Smoothies and a McCafé Frappé Chocolate Chip. And let's wrap it up with a couple of Soft Baked Chocolate Chip Cookies.","{'dish': 'Grilled Onion Cheddar Burger', 'quantity': 3, 'comment': ' '},{'dish': 'Premium Crispy Chicken Ranch BLT Sandwich', 'quantity': 1, 'comment': ' '},{'dish': 'Southern Style Crispy Chicken Sandwich', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Southwest Salad with Grilled Chicken', 'quantity': 1, 'comment': ' '},{'dish': 'Side Salad', 'quantity': 1, 'comment': ' '},{'dish': 'Kiddie Cone', 'quantity': 1, 'comment': ' '},{'dish': 'Vanilla Cone', 'quantity': 1, 'comment': ' '},{'dish': 'Chicken McNuggets', 'quantity': 3, 'comment': ' '},{'dish': 'McCafé Blueberry Pomegranate Smoothie', 'quantity': 2, 'comment': ' '},{'dish': 'McCafé Frappé Chocolate Chip', 'quantity': 1, 'comment': ' '},{'dish': 'Soft Baked Chocolate Chip Cookie', 'quantity': 2, 'comment': ' '}"
"Hi! We're looking to order a variety. Let's start with a Big Mac, a Bacon & Cheese Quarter Pounder, and a McDouble. For sides, we'll take a Hot Fudge Sundae and an order of French Fries. Throw in a McCafé Strawberry Shake and a McCafé Frappé Mocha for drinks. As a dessert option, we'd like a Soft Baked Chocolate Chip Cookie and a McFlurry with OREO® Cookies.","{'dish': 'Big Mac', 'quantity': 1, 'comment': ' '},{'dish': 'Bacon & Cheese Quarter Pounder', 'quantity': 1, 'comment': ' '},{'dish': 'McDouble', 'quantity': 1, 'comment': ' '},{'dish': 'Hot Fudge Sundae', 'quantity': 1, 'comment': ' '},{'dish': 'French Fries', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Strawberry Shake', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Frappé Mocha', 'quantity': 1, 'comment': ' '},{'dish': 'Soft Baked Chocolate Chip Cookie', 'quantity': 1, 'comment': ' '},{'dish': 'McFlurry with OREO® Cookies', 'quantity': 1, 'comment': ' '}"
"Hello there! We'd like a unique mix of items. Please include a Premium McWrap Chicken & Bacon, a Grilled Onion Cheddar Burger, and a Southern Style Crispy Chicken Sandwich. Add some Hash Browns and a Premium Southwest Salad with Grilled Chicken. For drinks, go with a McCafé Iced Caramel Mocha and a McCafé Blueberry Pomegranate Smoothie. Cap it off with a Baked Apple Pie for dessert.","{'dish': 'Premium McWrap Chicken & Bacon', 'quantity': 1, 'comment': ' '},{'dish': 'Grilled Onion Cheddar Burger', 'quantity': 1, 'comment': ' '},{'dish': 'Southern Style Crispy Chicken Sandwich', 'quantity': 1, 'comment': ' '},{'dish': 'Hash Browns', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Southwest Salad with Grilled Chicken', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Iced Caramel Mocha', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Blueberry Pomegranate Smoothie', 'quantity': 1, 'comment': ' '},{'dish': 'Baked Apple Pie', 'quantity': 1, 'comment': ' '}"
"Hey! We're craving some variety. Give us a Mac Crispy, a Deluxe Quarter Pounder, and a Premium Grilled Chicken Ranch BLT Sandwich. Sides will include Hotcakes and a Premium Caesar Salad with Crispy Chicken. For drinks, we'll go with a McCafé Vanilla Shake and a Premium Roast Iced Coffee. Don't forget a Soft Baked Oatmeal Raisin Cookie for dessert. Oh no no, I changed my mind, no Deluxe Quarter Pounder for me.","{'dish': 'Mac Crispy', 'quantity': 1, 'comment': ' '},{'dish': 'Deluxe Quarter Pounder', 'quantity': 0, 'comment': ' '},{'dish': 'Premium Grilled Chicken Ranch BLT Sandwich', 'quantity': 1, 'comment': ' '},{'dish': 'Hotcakes', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Caesar Salad with Crispy Chicken', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Vanilla Shake', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Roast Iced Coffee', 'quantity': 1, 'comment': ' '},{'dish': 'Soft Baked Oatmeal Raisin Cookie', 'quantity': 1, 'comment': ' '}"
"Hi! We're ordering for a group. Let's go with a McRib, a Premium Bacon Ranch Salad with Grilled Chicken, and a Chicken McNuggets. Add some Hotcakes and a McCafé Mango Pineapple Smoothie. For a savory touch, include a Sausage Biscuit with Egg. As a sweet treat, we'd like a McFlurry with M&Ms.","{'dish': 'McRib', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Bacon Ranch Salad with Grilled Chicken', 'quantity': 1, 'comment': ' '},{'dish': 'Chicken McNuggets', 'quantity': 1, 'comment': ' '},{'dish': 'Hotcakes', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Mango Pineapple Smoothie', 'quantity': 1, 'comment': ' '},{'dish': 'Sausage Biscuit with Egg', 'quantity': 1, 'comment': ' '},{'dish': 'McFlurry with M&M's®', 'quantity': 1, 'comment': ' '}"
"Good afternoon! We're in the mood for some classics. Please prepare a Cheeseburger, a Filet-O-Fish, and an Egg McMuffin. Add some Cinnamon Melts and a Premium Roast Coffee. For a refreshing drink, we'll take a McCafé Strawberry Banana Smoothie. And to wrap it up, include a Hot Caramel Sundae for dessert.","{'dish': 'Cheeseburger', 'quantity': 1, 'comment': ' '},{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': ' '},{'dish': 'Egg McMuffin', 'quantity': 1, 'comment': ' '},{'dish': 'Cinnamon Melts', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Roast Coffee', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Strawberry Banana Smoothie', 'quantity': 1, 'comment': ' '},{'dish': 'Hot Caramel Sundae', 'quantity': 1, 'comment': ' '}"
"Hello! We have a sizable order coming your way. We'd like to start with a Big Breakfast with Hotcakes, a Bacon Habanero Ranch Quarter Pounder, and a Premium Grilled Chicken Ranch BLT Sandwich. Add a McCafé Mocha and a McCafé Strawberry Shake for drinks. For sides, include Hash Browns, French Fries, and a Side Salad. Moving on to desserts, we'll take a McFlurry with OREO® Cookies and a Baked Apple Pie. To round it off, let's include a Premium Roast Iced Coffee and a Hot Caramel Sundae.","{'dish': 'Big Breakfast with Hotcakes', 'quantity': 1, 'comment': ' '},{'dish': 'Bacon Habanero Ranch Quarter Pounder', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Grilled Chicken Ranch BLT Sandwich', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Mocha', 'quantity': 1, 'comment': ' '},{'dish': 'McCafé Strawberry Shake', 'quantity': 1, 'comment': ' '},{'dish': 'Hash Browns', 'quantity': 1, 'comment': ' '},{'dish': 'French Fries', 'quantity': 1, 'comment': ' '},{'dish': 'Side Salad', 'quantity': 1, 'comment': ' '},{'dish': 'McFlurry with OREO® Cookies', 'quantity': 1, 'comment': ' '},{'dish': 'Baked Apple Pie', 'quantity': 1, 'comment': ' '},{'dish': 'Premium Roast Iced Coffee', 'quantity': 1, 'comment': ' '},{'dish': 'Hot Caramel Sundae', 'quantity': 1, 'comment': ' '}"
"Hi! We're placing a diverse order for a group. Please include a Double Quarter Pounder with Cheese, a Bacon, Egg & Cheese Bagel, and a Premium Crispy Chicken Club Sandwich. For sides, we'll take a Kiddie Cone, Hotcakes, and a Fruit & Maple Oatmeal. Add some Premium Bacon Ranch Salad with Grilled Chicken for a healthier touch. For drinks, go with a McCafé Iced Caramel Mocha and a McCafé Cherry Berry Chiller. Cap it off with a Soft Baked Chocolate Chip Cookie and a McFlurry with M&M's® for dessert.","{'dish': 'Double Quarter Pounder with Cheese', 'quantity': 1, 'comment': ' '}, {'dish': 'Bacon, Egg & Cheese Bagel', 'quantity': 1, 'comment': ' '}, {'dish': 'Premium Crispy Chicken Club Sandwich', 'quantity': 1, 'comment': ' '}, {'dish': 'Kiddie Cone', 'quantity': 1, 'comment': ' '}, {'dish': 'Hotcakes', 'quantity': 1, 'comment': ' '}, {'dish': 'Fruit & Maple Oatmeal', 'quantity': 1, 'comment': ' '}, {'dish': 'Premium Bacon Ranch Salad with Grilled Chicken', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Iced Caramel Mocha', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Cherry Berry Chiller', 'quantity': 1, 'comment': ' '}, {'dish': 'Soft Baked Chocolate Chip Cookie', 'quantity': 1, 'comment': ' '}, {'dish': 'McFlurry with M&M's®', 'quantity': 1, 'comment': ' '}"
"Good day! We're ordering for a gathering. Let's go big with a Deluxe Quarter Pounder, a Premium McWrap Sweet Chili Chicken, and a Southern Style Crispy Chicken Sandwich. Add a McCafé Dulce de Leche Shake and a McCafé Frappé Chocolate Chip for drinks. Include a McCafé Blueberry Pomegranate Smoothie and a Vanilla Cone for a sweet touch. For sides, we'll take a McCafé Iced Mocha and an order of Hot Fries. To wrap it up, add a Soft Baked Oatmeal Raisin Cookie and a McFlurry with OREO® Cookies for dessert.","{'dish': 'Deluxe Quarter Pounder', 'quantity': 1, 'comment': ' '}, {'dish': 'Premium McWrap Sweet Chili Chicken', 'quantity': 1, 'comment': ' '}, {'dish': 'Southern Style Crispy Chicken Sandwich', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Dulce de Leche Shake', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Frappé Chocolate Chip', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Blueberry Pomegranate Smoothie', 'quantity': 1, 'comment': ' '}, {'dish': 'Vanilla Cone', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Iced Mocha', 'quantity': 1, 'comment': ' '}, {'dish': 'Hot Fries', 'quantity': 1, 'comment': ' '}, {'dish': 'Soft Baked Oatmeal Raisin Cookie', 'quantity': 1, 'comment': ' '}, {'dish': 'McFlurry with OREO® Cookies', 'quantity': 1, 'comment': ' '}"
"Hello! We're looking for a variety. Please include a Mac Double, a Premium Crispy Chicken Ranch BLT Sandwich, and a Sausage McMuffin with Egg. For sides, we'll take a McCafé Frappé Mocha, a Side Salad, and a Hot Fudge Sundae. Add a Grilled Onion Cheddar Burger and a McCafé Mango Pineapple Smoothie. As a sweet ending, we'd like a McCafé Strawberry Shake and a Soft Baked Chocolate Chip Cookie.","{'dish': 'Mac Double', 'quantity': 1, 'comment': ' '}, {'dish': 'Premium Crispy Chicken Ranch BLT Sandwich', 'quantity': 1, 'comment': ' '}, {'dish': 'Sausage McMuffin with Egg', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Frappé Mocha', 'quantity': 1, 'comment': ' '}, {'dish': 'Side Salad', 'quantity': 1, 'comment': ' '}, {'dish': 'Hot Fudge Sundae', 'quantity': 1, 'comment': ' '}, {'dish': 'Grilled Onion Cheddar Burger', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Mango Pineapple Smoothie', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Strawberry Shake', 'quantity': 1, 'comment': ' '}, {'dish': 'Soft Baked Chocolate Chip Cookie', 'quantity': 1, 'comment': ' '}"
"Hi there! We're ordering for a special occasion. Please prepare a Bacon & Cheese Quarter Pounder, a Premium Bacon Ranch Salad with Crispy Chicken, and a Premium McWrap Chicken & Bacon. Add a McCafé Caramel Mocha and a McCafé Frozen Strawberry Lemonade for drinks. Include a McCafé Vanilla Shake and a McCafé Frappé Caramel. For sides, we'll take Hash Browns, Cinnamon Melts, and an order of French Fries. As a delightful dessert, add a Hot Caramel Sundae and a McFlurry with OREO® Cookies.","{'dish': 'Bacon & Cheese Quarter Pounder', 'quantity': 1, 'comment': ' '}, {'dish': 'Premium Bacon Ranch Salad with Crispy Chicken', 'quantity': 1, 'comment': ' '}, {'dish': 'Premium McWrap Chicken & Bacon', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Caramel Mocha', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Frozen Strawberry Lemonade', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Vanilla Shake', 'quantity': 1, 'comment': ' '}, {'dish': 'McCafé Frappé Caramel', 'quantity': 1, 'comment': ' '}, {'dish': 'Hash Browns', 'quantity': 1, 'comment': ' '}, {'dish': 'Cinnamon Melts', 'quantity': 1, 'comment': ' '}, {'dish': 'French Fries', 'quantity': 1, 'comment': ' '}, {'dish': 'Hot Caramel Sundae', 'quantity': 1, 'comment': ' '}, {'dish': 'McFlurry with OREO® Cookies', 'quantity': 1, 'comment': ' '}"
