User,Prompt
"A classic Big Mac with extra pickles and a large Coca-Cola.","{'dish': 'Big Mac', 'quantity': 1, 'comment': 'extra pickles'}, {'dish': 'Coca-Cola', 'quantity': 1, 'comment': 'Large'}"
"Crispy Chicken Sandwich, no lettuce, and a medium Sprite.","{'dish': 'Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'Medium'}"
"Quarter Pounder with Cheese, add bacon, and a small Fanta.","{'dish': 'Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'add bacon'}, {'dish': 'Fanta', 'quantity': 1, 'comment': 'Small'}"
"A McFlurry with M&M's and a mixed salad.","{'dish': 'McFlurry', 'quantity': 1, 'comment': 'M&Ms'}, {'dish': 'Mixed Salad', 'quantity': 1, 'comment': ''}"
"A classic McChicken and a small Vanilla Shake.","{'dish': 'McChicken', 'quantity': 1, 'comment': ''}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'Small'}"
"Spicy McChicken, no mayo, and a small apple pie.","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'no mayo'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"Large French Fries and a Hot Apple Pie.","{'dish': 'French Fries', 'quantity': 1, 'comment': 'Large'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Hot'}"
"A Bacon Ranch Salad with extra cheese and a side of ranch dressing.","{'dish': 'Bacon Ranch Salad', 'quantity': 1, 'comment': 'extra cheese'}, {'dish': 'Ranch Dressing', 'quantity': 1, 'comment': ''}"
"A piece Chicken McNuggets with sweet and sour sauce.","{'dish': 'piece Chicken McNuggets', 'quantity': 1, 'comment': 'sweet and sour sauce'}"
"A classic Filet-O-Fish with tartar sauce and a medium Coke.","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'tartar sauce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Medium'}"
"A McRib with extra onions and a small Sprite.","{'dish': 'McRib', 'quantity': 1, 'comment': 'extra onions'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'Small'}"
"A Grilled Chicken Wrap, no tomatoes, and a small apple pie.","{'dish': 'Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
